t_burst,gamma,theta,alpha,q,V,x,z
0.78,-275.29266766904846,-2.215368866018404,273.0772988030301,-25.767249226789808,3.8582709432876063,20.432174152477465,11.451566063933955
0.79,-238.8221820737603,25.66337895922776,264.4855610329881,-25.68682997203386,4.418952853585388,20.25490910226771,11.673412137221064
0.8,-208.57564235881475,53.29415234185187,261.8697947006666,-25.55975891318764,5.163713616754411,20.07261645621195,11.884658813352683
0.81,-182.57804964720657,80.52218460899265,263.1002342561992,-25.369041122506758,5.900278327326941,19.874349601165363,12.094546712924037
0.8200000000000001,-159.21898801030864,107.19708095113769,266.41606896144634,-25.107767656659988,6.534559912976492,19.645344361601783,12.303268074712447
0.8300000000000001,-137.50249923832845,133.18905350003482,270.69155273836327,-24.77865836501924,7.030291096994871,19.372263050010634,12.50173964328118
0.84,-116.82564992476766,158.40207347879326,275.2277234035609,-24.392640394000708,7.382689118109425,19.047375722534486,12.673886765659754
0.85,-96.79932247090407,182.7821429462452,279.5814654171493,-23.966404959977,7.603473722427212,18.67080805919125,12.800239754413413
0.86,-77.14548509640284,206.32005200599562,283.46553710239846,-23.519514096978256,7.712528700154194,18.25082938492256,12.86165824552707
0.87,-57.64547724500546,229.04915960894883,286.6946368539543,-23.071610813091528,7.733612567888501,17.80267676742379,12.842374074052909
0.88,-38.12043546189876,251.03942060703682,289.15985606893554,-22.640045226654504,7.692562139598859,17.346574089252954,12.732017937634913
0.89,-18.433612970493037,272.38903486457497,290.822647835068,-22.238023705693116,7.616709393855614,16.90549629275028,12.526660893182385
0.9,1.4927958431149126,293.21493083322804,291.72213499011315,-21.873323692817692,7.534242317141063,16.503010917332958,12.229071342388496
0.91,21.65663359467174,313.64306776757496,291.9864341729032,-21.547654992466015,7.472422534123203,16.16134330981851,11.848393343063648
0.92,41.966050837142795,333.7993711294457,291.8333202923029,-21.25676044143577,7.454312339188678,15.899723327454389,11.3993869771455
0.93,62.255693513182635,353.80196378087953,291.5462702676969,-20.991236754655965,7.49489695633977,15.733061084663538,10.901324840145906
0.9400000000000001,82.32991155993375,373.7551258214778,291.42521426154406,-20.737865482945022,7.598383958852215,15.671003137744101,10.376640813763212
0.9500000000000001,102.01525753585702,393.7451056145401,291.72984807868306,-20.481129091552,7.75809533864128,15.71739517690994,9.849445464174972
0.96,121.19821091649682,413.83762374882457,292.6394128323277,-20.204637100051684,7.958943891135263,15.870136351718278,9.344015803487597
0.97,139.83604756003515,434.076766586066,294.2407190260309,-19.892335509526784,8.181257903489445,16.12138912161982,8.883337768635082
0.98,157.9455532623633,454.4849642440664,296.5394109817031,-19.529497041437164,8.404527768318063,16.45811329212741,8.487757442782515
0.99,175.58197415477093,475.0638183846896,299.4818442299187,-19.10353423959983,8.610224014044881,16.862901991938887,8.17379667407388
